광역자치단체명,축제명,시도,시군구,읍면동,전체방문객수
부산,해운대 빛축제,부산,해운대구,,3879810
부산,광복로 겨울빛 트리축제,부산,중구,,2900000
대전,대전 0시 축제,대전,동구,중구,2008240
부산,해운대모래축제,부산,해운대구,,1009910
대전,유성국화축제,대전,유성구,-,683921
전남,화순 고인돌 가을꽃 축제,전남,화순군,도곡면,315300
경기,수원화성문화제,경기,수원시,팔달구,246537
